Combination: (0,), Degree: 1
Combination: (2, 6), Degree: 1
Mean Squared Error (Combination (2, 6), Degree 1): 0.5870637383754681
Combination: (2, 6), Degree: 2
Mean Squared Error (Combination (2, 6), Degree 2): 0.5818103859096881
Combination: (2, 6), Degree: 3
Mean Squared Error (Combination (2, 6), Degree 3): 0.5714329922322081
Combination: (2, 7), Degree: 1
Mean Squared Error (Combination (2, 7), Degree 1): 0.568862881476288
Combination: (2, 7), Degree: 2
Mean Squared Error (Combination (2, 7), Degree 2): 0.5597294203101039
Combination: (2, 7), Degree: 3
Mean Squared Error (Combination (2, 7), Degree 3): 0.5673064069224838
Combination: (2, 8), Degree: 1
Mean Squared Error (Combination (2, 8), Degree 1): 0.6182487690849569
Combination: (2, 8), Degree: 2
Mean Squared Error (Combination (2, 8), Degree 2): 0.6170987772880309
Combination: (2, 8), Degree: 3
Mean Squared Error (Combination (2, 8), Degree 3): 0.6089672674225355
Combination: (2, 9), Degree: 1
Mean Squared Error (Combination (2, 9), Degree 1): 0.6056870112666476
Combination: (2, 9), Degree: 2
Mean Squared Error (Combination (2, 9), Degree 2): 0.5664719496555244
Combination: (2, 9), Degree: 3
Mean Squared Error (Combination (2, 9), Degree 3): 0.551305201836342
Combination: (2, 10), Degree: 1
Mean Squared Error (Combination (2, 10), Degree 1): 0.4732352226115126
Combination: (2, 10), Degree: 2
Mean Squared Error (Combination (2, 10), Degree 2): 0.4712757806932282
Combination: (2, 10), Degree: 3
Mean Squared Error (Combination (2, 10), Degree 3): 0.4635648958358458
Combination: (3, 4), Degree: 1
Mean Squared Error (Combination (3, 4), Degree 1): 0.6432562190209772
Combination: (3, 4), Degree: 2
Mean Squared Error (Combination (3, 4), Degree 2): 0.6379335272799674
Combination: (3, 4), Degree: 3
Mean Squared Error (Combination (3, 4), Degree 3): 0.6256977347413557
Combination: (3, 5), Degree: 1
Mean Squared Error (Combination (3, 5), Degree 1): 0.6490485045463281
Combination: (3, 5), Degree: 2
Mean Squared Error (Combination (3, 5), Degree 2): 0.647385103318132
Combination: (3, 5), Degree: 3
